Klasse,Nachname,Vorname,Projekt zugeteilt,Projekt1,Projekt2,Projekt3,Projekt4
08d,Name664,Vorname664,X2,k,k,k,k
08d,Name665,Vorname665,X2,k,k,k,k
08d,Name666,Vorname666,X2,k,k,k,k
08d,Name667,Vorname667,X2,k,k,k,k
09a,Name055,Vorname055,5,5,7,41,15
09a,Name056,Vorname056,5,5,7,23,41
09a,Name057,Vorname057,5,5,7,23,41
09a,Name058,Vorname058,5,5,7,41,15
09a,Name110,Vorname110,7,23,41,7,15
09a,Name111,Vorname111,7,41,15,23,7
09a,Name112,Vorname112,7,23,41,7,15
09a,Name113,Vorname113,7,7,23,15,41
09a,Name114,Vorname114,7,7,41,30,32
09a,Name115,Vorname115,7,7,41,30,32
09a,Name203,Vorname203,13,13,2,8,41
09a,Name204,Vorname204,13,13,2,8,41
09a,Name205,Vorname205,13,13,2,8,41
09a,Name223,Vorname223,15,41,15,23,30
09a,Name224,Vorname224,15,15,41,23,30
09a,Name225,Vorname225,15,15,16,41,27
09a,Name226,Vorname226,15,n,n,n,n
09a,Name227,Vorname227,15,15,41,23,7
09a,Name228,Vorname228,15,41,15,23,30
09a,Name229,Vorname229,15,15,16,41,13
09a,Name230,Vorname230,15,41,15,23,30
09a,Name231,Vorname231,15,15,5,12,41
09a,Name245,Vorname245,17,17,32,23,41
09a,Name246,Vorname246,17,17,32,23,41
09a,Name445,Vorname445,32,23,32,1,29
09a,Name446,Vorname446,32,32,41,23,29
09a,Name668,Vorname668,X2,k,k,k,k
09a,Name669,Vorname669,X2,k,k,k,k
09b,Name059,Vorname059,5,28,41,5,23
09b,Name060,Vorname060,5,28,21,5,7
09b,Name061,Vorname061,5,28,41,23,5
09b,Name124,Vorname124,8,23,41,8,16
09b,Name153,Vorname153,9,15,9,41,23
09b,Name206,Vorname206,13,13,20,2,41
09b,Name232,Vorname232,15,15,23,9,28
09b,Name383,Vorname383,28,28,23,7,33
09b,Name384,Vorname384,28,28,41,23,30
09b,Name385,Vorname385,28,28,41,23,30
09b,Name386,Vorname386,28,28,21,33,7
09b,Name387,Vorname387,28,28,9,15,23
09b,Name388,Vorname388,28,n,n,n,n
09b,Name462,Vorname462,33,16,33,k,k
09b,Name670,Vorname670,X2,k,k,k,k
09b,Name671,Vorname671,X2,k,k,k,k
