Klasse, Name, Vorname, Projekt Nr., Wunsch
08a,Name379,Vorname379,13,4
08a,Name456,Vorname456,34,1
08b,Name122,Vorname122,8,1
08b,Name123,Vorname123,8,1
08b,Name163,Vorname163,10,2
08b,Name164,Vorname164,10,2
08b,Name186,Vorname186,11,1
08b,Name187,Vorname187,11,4
08b,Name243,Vorname243,17,4
08b,Name244,Vorname244,17,4
08b,Name366,Vorname366,null,null
08b,Name367,Vorname367,15,3
08b,Name368,Vorname368,null,null
08b,Name381,Vorname381,42,2
08b,Name382,Vorname382,33,3
08b,Name395,Vorname395,30,1
08b,Name396,Vorname396,30,1
08b,Name397,Vorname397,null,null
08b,Name398,Vorname398,null,null
08c,Name106,Vorname106,23,1
08c,Name107,Vorname107,7,2
08c,Name145,Vorname145,9,2
08c,Name146,Vorname146,40,1
08c,Name148,Vorname148,9,4
08c,Name149,Vorname149,9,2
08c,Name150,Vorname150,9,2
08c,Name151,Vorname151,9,4
08c,Name194,Vorname194,28,3
08c,Name195,Vorname195,9,2
08d,Name108,Vorname108,30,3
08d,Name109,Vorname109,41,2
08d,Name152,Vorname152,27,4
08d,Name188,Vorname188,11,1
08d,Name222,Vorname222,12,2
08d,Name279,Vorname279,20,1
08d,Name280,Vorname280,20,1
08d,Name281,Vorname281,35,4
08d,Name282,Vorname282,35,4
08d,Name283,Vorname283,35,4
08d,Name399,Vorname399,40,1
08d,Name400,Vorname400,15,3
08d,Name401,Vorname401,15,3
08d,Name457,Vorname457,33,4
08d,Name458,Vorname458,33,4
08d,Name459,Vorname459,33,4
08d,Name460,Vorname460,35,3
08d,Name461,Vorname461,33,3
09a,Name055,Vorname055,7,2
09a,Name056,Vorname056,null,null
09a,Name057,Vorname057,null,null
09a,Name058,Vorname058,7,2
09a,Name110,Vorname110,41,2
09a,Name111,Vorname111,15,2
09a,Name112,Vorname112,41,2
09a,Name113,Vorname113,7,1
09a,Name114,Vorname114,7,1
09a,Name115,Vorname115,7,1
09a,Name203,Vorname203,13,1
09a,Name204,Vorname204,13,1
09a,Name205,Vorname205,13,1
09a,Name223,Vorname223,15,2
09a,Name224,Vorname224,15,1
